Flavor;nrWorker;batch;learningRate;momentum;sync;sizeSeconds;time;acc;cost
intel14_v2;2;2;1e-06;0.99;async;666;681.345113992691;0.4330264763498886;0.4118352689022488
intel14_v2;2;2;1e-06;0.99;async;2000;2017.1154041290283;0.5037180269387913;1.2192341998291016
intel14_v2;2;2;1e-06;0.99;async;6000;6007.771554946899;0.5988902040247471;3.6313641398790146
intel14_v2;2;2;1e-06;0.99;async;18000;17224.480421066284;0.6991020115034999;10.41124149895562
intel14_v2;2;1;1e-06;0.99;async;222;222.42792391777039;0.24547682609821972;0.13444532290140787
intel14_v2;2;1;1e-06;0.99;async;666;691.1395580768585;0.3536218243149706;0.4177554662153456
intel14_v2;2;1;1e-06;0.99;async;2000;2014.5142030715942;0.5230698061953637;1.2176619183010526
intel14_v2;2;1;1e-06;0.99;async;6000;6003.272975921631;0.6105874475195417;3.628644998779297
intel14_v2;2;1;1e-06;0.99;async;18000;17220.53851389885;0.7161774742967596;10.408858835067749
intel14_v2;2;2;0.0001;0.95;sync;222;240.695641040802;0.3598009941280693;0.14548714302910698
intel14_v2;2;2;0.0001;0.95;sync;666;679.0669980049133;0.41101209836708896;0.4104582743496365
intel14_v2;2;2;0.0001;0.95;sync;2000;2008.6675939559937;0.5812704127751683;1.2141279679022896
intel14_v2;2;2;0.0001;0.95;sync;6000;6001.292933940887;0.8049929112454326;3.62744817340427
intel14_v2;2;2;0.0001;0.95;sync;18000;17592.487669944763;0.9544210353796515;10.633681436055502
intel14_v2;1;1;1e-05;0.99;sync;222;237.12713599205017;0.16294863367585274;0.07930585325956345
intel14_v2;1;1;1e-05;0.99;sync;666;679.1097328662872;0.29332758680579835;0.22712447732528052
intel14_v2;1;1;1e-05;0.99;sync;2000;2007.8731529712677;0.474720858324405;0.6715220211603906
intel14_v2;1;1;1e-05;0.99;sync;6000;6008.342376947403;0.6174280988398355;2.009456728290187
intel14_v2;1;1;1e-05;0.99;sync;18000;17700.384264945984;0.7581173326988915;5.919795181943046
intel14_v2;2;1;1e-06;0.9;sync;222;233.6056718826294;0.4186129491476052;0.1412016505601671
intel14_v2;2;1;1e-06;0.9;sync;666;680.7525858879089;0.44678050969267463;0.41147711858113606
intel14_v2;2;1;1e-06;0.9;sync;2000;2001.2085950374603;0.5309538685652491;1.209619417444865
intel14_v2;2;1;1e-06;0.9;sync;6000;6018.064332962036;0.6346781779670538;3.637585552368164
intel14_v2;2;1;1e-06;0.9;sync;18000;17585.504075050354;0.7650172173619714;10.629460240919325
intel14_v2;1;2;1e-06;0.9;sync;222;230.33333683013916;0.3161155379535986;0.07703370487319099
intel14_v2;1;2;1e-06;0.9;sync;666;679.3205659389496;0.34423272502905145;0.2271949892751376
intel14_v2;1;2;1e-06;0.9;sync;2000;2011.0098600387573;0.440166899674772;0.6725710754129621
intel14_v2;1;2;1e-06;0.9;sync;6000;6008.7014009952545;0.5246588974191465;2.009576801888413
intel14_v2;1;2;1e-06;0.9;sync;18000;17723.32171201706;0.5932703638063637;5.927466483685706
intel14_v2;2;1;1e-06;0.95;async;222;239.87617206573486;0.36378553572773775;0.1449918195597331
intel14_v2;2;1;1e-06;0.95;async;666;688.2085490226746;0.41098774462617355;0.41598383407592776
intel14_v2;2;1;1e-06;0.95;async;2000;2007.626002073288;0.5224160459538951;1.2134983834754096
intel14_v2;2;1;1e-06;0.95;async;6000;6023.844696044922;0.6392795741050589;3.641079460720486
intel14_v2;2;1;1e-06;0.95;async;18000;17205.011328220367;0.6734247968053192;10.399473513946534
intel14_v2;1;2;0.0001;0.9;sync;222;228.32393503189087;0.29552412653312055;0.07636167160511018
intel14_v2;1;2;0.0001;0.9;sync;666;674.4331729412079;0.39345207242977637;0.2255604278392262
intel14_v2;1;2;0.0001;0.9;sync;2000;2000.4104340076447;0.571656486475367;0.6690261562625567
intel14_v2;1;2;0.0001;0.9;sync;6000;6000.520014047623;0.7819834390960648;2.006840582475927
intel14_v2;1;2;0.0001;0.9;sync;18000;17723.471326112747;0.9209676928258547;5.927516521288819
intel14_v2;1;1;1e-06;0.95;sync;222;238.55140113830566;0.27021408440284334;0.07978219082514446
intel14_v2;1;1;1e-06;0.95;sync;666;683.2215569019318;0.309009170631788;0.22849965403053496
intel14_v2;1;1;1e-06;0.95;sync;2000;2002.5728619098663;0.44927014309156044;0.6697493682609664
intel14_v2;1;1;1e-06;0.95;sync;6000;6002.9271829128265;0.532469079420283;2.0076456467297343
intel14_v2;1;1;1e-06;0.95;sync;18000;17718.21414899826;0.60577683016143;5.925758287609418
intel14_v2;2;2;1e-06;0.95;async;222;230.73515701293945;0.31976458016775117;0.13946658379448784
intel14_v2;2;2;1e-06;0.95;async;666;681.420648097992;0.3818468078316152;0.411880925072564
intel14_v2;2;2;1e-06;0.95;async;2000;2000.1720039844513;0.502358746486711;1.208992855741713
intel14_v2;2;2;1e-06;0.95;async;6000;6010.467054128647;0.600174952056505;3.6329934193844267
intel14_v2;2;2;1e-06;0.95;async;18000;17211.863209962845;0.687205229083298;10.403615095799765
intel14_v2;2;2;1e-06;0.9;async;222;230.64291501045227;0.23081122506786148;0.13941082862854004
intel14_v2;2;2;1e-06;0.9;async;666;680.7361907958984;0.32278535602663083;0.41146720865885417
intel14_v2;2;2;1e-06;0.9;async;2000;2017.2065489292145;0.5165895372897341;1.219289291797214
intel14_v2;2;2;1e-06;0.9;async;6000;6009.204572916031;0.6442996078588511;3.6322303196292456
intel14_v2;2;2;1e-06;0.9;async;18000;17229.064570903778;0.7036988195912465;10.414012362857395
intel14_v2;2;1;1e-05;0.99;sync;222;237.66765999794006;0.16701226561038024;0.143656896709866
intel14_v2;2;1;1e-05;0.99;sync;666;687.7082450389862;0.32250154121842783;0.4156814281124539
intel14_v2;2;1;1e-05;0.99;sync;2000;2010.059849023819;0.5580941923597507;1.2149695087432861
intel14_v2;2;1;1e-05;0.99;sync;6000;6007.451804161072;0.7786904964778252;3.6311708682929145
intel14_v2;2;1;1e-05;0.99;sync;18000;17585.215583086014;0.9490104074471096;10.629285863554212
intel14_v2;2;2;1e-06;0.9;sync;222;223.76688313484192;0.45694607317432956;0.13525464936150444
intel14_v2;2;2;1e-06;0.9;sync;666;685.7806189060211;0.4755532498526517;0.4145162852054172
intel14_v2;2;2;1e-06;0.9;sync;2000;2009.4842009544373;0.5399301558122781;1.2146215614657931
intel14_v2;2;2;1e-06;0.9;sync;6000;6004.188964128494;0.6185100904329122;3.629198662762112
intel14_v2;2;2;1e-06;0.9;sync;18000;17600.003412008286;0.7117392483875394;10.638224284591676
intel14_v2;2;1;0.0001;0.99;sync;222;232.7384328842163;0.38917336884218684;0.14067745276557075
intel14_v2;2;1;0.0001;0.99;sync;666;678.6872708797455;0.4352270305962689;0.41022875039842394
intel14_v2;2;1;0.0001;0.99;sync;2000;2001.23237490654;0.5823972150228044;1.2096337910546198
intel14_v2;2;1;0.0001;0.99;sync;6000;6016.373553991318;0.7775608943105796;3.63656357041253
intel14_v2;2;1;0.0001;0.99;sync;18000;17582.343456983566;0.9311324243072548;10.627549822887845
intel14_v2;1;1;1e-06;0.9;sync;222;235.36866092681885;0.06230844575098608;0.07871774104330274
