dataset,size,epoch,lr,momentum,bacth,weightDecay,testError,testLoss,trainTime,testTime,stdTestError,stdTestLoss,stdTrainTime,stdTestTime
mnist,0.0625,1,0.1,0.95,64,0.001,0.8972,2.319466654586792,1.9992265701293945,1.0186262130737305,0,0,0,0
mnist,0.0625,1,0.1,0.95,64,0.0001,0.8991,2.309745767593384,2.0651144981384277,1.0692200660705566,0,0,0,0
mnist,0.0625,1,0.1,0.95,128,0.0,0.709,2.209978899383545,1.827568769454956,0.9064016342163086,0,0,0,0
mnist,0.0625,1,0.1,0.95,128,0.01,0.8865,2.2977239738464355,1.815610408782959,0.8827500343322754,0,0,0,0
mnist,0.0625,1,0.1,0.95,128,0.001,0.7319,2.2360093364715574,1.8816750049591064,0.9363067150115967,0,0,0,0
mnist,0.0625,1,0.1,0.95,128,0.0001,0.7104,2.213461255645752,1.6246814727783203,0.8359930515289307,0,0,0,0
mnist,0.0625,1,0.1,0.95,256,0.0,0.8865,2.2997329734802245,1.94270658493042,0.9919846057891846,0,0,0,0
mnist,0.0625,1,0.1,0.95,256,0.01,0.8865,2.300683425140381,1.754108190536499,0.9640982151031494,0,0,0,0
mnist,0.0625,1,0.1,0.95,256,0.001,0.8865,2.2998601600646973,1.8904602527618408,0.9619808197021484,0,0,0,0
mnist,0.0625,1,0.1,0.95,256,0.0001,0.8865,2.2997405124664305,1.8448336124420166,1.0018253326416016,0,0,0,0
mnist,0.0625,1,0.1,0.95,512,0.0,0.902,2.3020090717315673,2.1868975162506104,1.095139980316162,0,0,0,0
mnist,0.0625,1,0.1,0.95,512,0.01,0.902,2.302099340057373,2.1056623458862305,1.114257574081421,0,0,0,0
mnist,0.0625,1,0.1,0.95,512,0.001,0.902,2.302016474533081,1.9711134433746338,1.0233268737792969,0,0,0,0
mnist,0.0625,1,0.1,0.95,512,0.0001,0.902,2.3020103076934815,2.1357107162475586,1.0782685279846191,0,0,0,0
mnist,0.0625,1,0.1,0.99,64,0.0,0.1829,0.5709468314647674,2.0329606533050537,1.0881247520446777,0,0,0,0
mnist,0.0625,1,0.1,0.99,64,0.01,0.5492,1.5801877645492555,2.069469928741455,1.0924792289733887,0,0,0,0
mnist,0.0625,1,0.1,0.99,64,0.001,0.9042,2.3091434032440183,2.084399461746216,1.0484042167663574,0,0,0,0
mnist,0.0625,1,0.1,0.99,64,0.0001,0.376,1.1566121677398682,2.0078933238983154,1.0425996780395508,0,0,0,0
mnist,0.0625,1,0.1,0.99,128,0.0,0.6206,1.99033937664032,1.7245209217071533,0.9127650260925293,0,0,0,0
mnist,0.0625,1,0.1,0.99,128,0.01,0.8865,2.299758588027954,1.823199987411499,0.9148788452148438,0,0,0,0
mnist,0.0625,1,0.1,0.99,128,0.001,0.6339,2.084977856063843,1.836596965789795,0.9625897407531738,0,0,0,0
mnist,0.0625,1,0.1,0.99,128,0.0001,0.6168,1.9790678161621094,1.7317194938659668,0.8928532600402832,0,0,0,0
mnist,0.0625,1,0.1,0.99,256,0.0,0.8865,2.299564728927612,1.8513998985290527,1.000370740890503,0,0,0,0
mnist,0.0625,1,0.1,0.99,256,0.01,0.8865,2.300866802597046,1.9408175945281982,0.983694314956665,0,0,0,0
mnist,0.0625,1,0.1,0.99,256,0.001,0.8865,2.299743366622925,1.8547477722167969,0.9828195571899414,0,0,0,0
mnist,0.0625,1,0.1,0.99,256,0.0001,0.8865,2.2995689041137695,1.8464365005493164,0.9597659111022949,0,0,0,0
mnist,0.0625,1,0.1,0.99,512,0.0,0.902,2.3018991313934327,2.138475179672241,1.1610357761383057,0,0,0,0
mnist,0.0625,1,0.1,0.99,512,0.01,0.902,2.3020031898498536,2.008352041244507,1.063816785812378,0,0,0,0
mnist,0.0625,1,0.1,0.99,512,0.001,0.902,2.3019089447021486,2.1595287322998047,1.0800094604492188,0,0,0,0
